epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1802.48,0.8732,1.51757,0.86845,1.08071,0.85427,0.73975,0.83103,0.63633,0.85504,0.73967,0.82344,0.60446,1.08382,2.07032,1.05494,1.25522,0.0013888,0.0013888,0.0013888
61,1830.63,0.90786,1.64256,0.89194,1.09131,0.83227,0.74426,0.83482,0.63343,0.83382,0.73188,0.81681,0.60301,1.06808,2.09215,1.06351,1.24894,0.00138409,0.00138409,0.00138409
62,1858.79,0.86608,1.62229,0.86137,1.07354,0.85059,0.76464,0.82814,0.65185,0.88169,0.7437,0.82389,0.61452,1.07447,2.03201,1.03777,1.24924,0.00137937,0.00137937,0.00137937
63,1886.93,0.89488,1.5651,0.88239,1.07875,0.87618,0.73073,0.82431,0.6131,0.88691,0.72316,0.82099,0.59263,1.17126,2.10741,1.10853,1.30381,0.00137466,0.00137466,0.00137466
64,1915.04,0.88831,1.57934,0.88472,1.08879,0.86702,0.74166,0.829,0.61837,0.8695,0.74355,0.82504,0.61134,1.1368,2.01518,1.08207,1.26203,0.00136994,0.00136994,0.00136994
65,1943.18,0.88739,1.54438,0.84038,1.08062,0.89201,0.72766,0.81649,0.62928,0.88749,0.73056,0.81307,0.60937,1.13046,2.08603,1.12513,1.30958,0.00136523,0.00136523,0.00136523
66,1971.43,0.87614,1.52755,0.86153,1.08012,0.87858,0.75576,0.82984,0.63422,0.86882,0.74749,0.81252,0.61045,1.10913,2.10251,1.04757,1.27341,0.00136051,0.00136051,0.00136051
67,1999.53,0.86398,1.55717,0.86545,1.07267,0.88047,0.74065,0.82835,0.62528,0.87942,0.74062,0.82518,0.60922,1.12383,2.029,1.03119,1.27431,0.00135579,0.00135579,0.00135579
68,2027.54,0.85135,1.49643,0.83815,1.06106,0.84651,0.77053,0.82945,0.62658,0.84481,0.76355,0.81928,0.61738,1.08287,1.96769,1.02982,1.25961,0.00135108,0.00135108,0.00135108
69,2055.68,0.84143,1.53037,0.82594,1.06142,0.86357,0.77267,0.85182,0.64766,0.85499,0.76487,0.83716,0.63205,1.09615,1.97233,1.00794,1.27635,0.00134636,0.00134636,0.00134636
